2026-07-13 20:18:52 MainThread INFO Discovered 13 campuses: Bega Valley Campus, Class conducted at a non UOW campus, Innovation Campus, On Campus Subject Delivered Online, Pre Recorded Activity, Shoalhaven Campus, Southern Highlands Campus, Sydney CBD Campus, UOW College Wollongong, UOW Eurobodalla Campus, UOW Liverpool, UOW Sutherland, Wollongong Campus
2026-07-13 20:18:52 MainThread INFO Bega Valley Campus: 9 rooms found.
2026-07-13 20:18:53 MainThread INFO Class conducted at a non UOW campus: 12 rooms found.
2026-07-13 20:18:53 MainThread INFO Innovation Campus: 6 rooms found.
2026-07-13 20:18:54 MainThread INFO On Campus Subject Delivered Online: 114 rooms found.
2026-07-13 20:18:54 MainThread INFO Pre Recorded Activity: 38 rooms found.
2026-07-13 20:18:54 MainThread INFO Shoalhaven Campus: 22 rooms found.
2026-07-13 20:18:55 MainThread INFO Southern Highlands Campus: 4 rooms found.
2026-07-13 20:18:55 MainThread INFO Sydney CBD Campus: 14 rooms found.
2026-07-13 20:18:56 MainThread INFO UOW College Wollongong: 24 rooms found.
2026-07-13 20:18:56 MainThread INFO UOW Eurobodalla Campus: 8 rooms found.
2026-07-13 20:18:56 MainThread INFO UOW Liverpool: 31 rooms found.
2026-07-13 20:18:57 MainThread INFO UOW Sutherland: 8 rooms found.
2026-07-13 20:18:57 MainThread INFO Wollongong Campus: 270 rooms found.
2026-07-13 20:19:04 worker-11 INFO [On Campus Subject Delivered Online/Class Online] 53 entries, 404 rows written
2026-07-13 20:19:04 worker-25 INFO [On Campus Subject Delivered Online/Class Online] 34 entries, 274 rows written
2026-07-13 20:19:04 worker-7 INFO [On Campus Subject Delivered Online/Class Online] 61 entries, 446 rows written
2026-07-13 20:19:04 worker-17 INFO [On Campus Subject Delivered Online/Class Online] 41 entries, 336 rows written
2026-07-13 20:19:04 worker-4 INFO [On Campus Subject Delivered Online/Class Online] 61 entries, 482 rows written
2026-07-13 20:19:04 worker-1 INFO [On Campus Subject Delivered Online/Class Online] 49 entries, 369 rows written
2026-07-13 20:19:04 worker-31 INFO [On Campus Subject Delivered Online/Lecture Online] 10 entries, 105 rows written
2026-07-13 20:19:04 worker-18 INFO [On Campus Subject Delivered Online/Class Online] 34 entries, 218 rows written
2026-07-13 20:19:05 worker-22 INFO [On Campus Subject Delivered Online/Class Online] 25 entries, 205 rows written
2026-07-13 20:19:05 worker-5 INFO [On Campus Subject Delivered Online/Class Online] 23 entries, 205 rows written
2026-07-13 20:19:05 worker-29 INFO [On Campus Subject Delivered Online/Lecture Online] 13 entries, 117 rows written
2026-07-13 20:19:05 worker-14 INFO [On Campus Subject Delivered Online/Class Online] 30 entries, 249 rows written
2026-07-13 20:19:05 worker-30 INFO [On Campus Subject Delivered Online/Lecture Online] 18 entries, 167 rows written
2026-07-13 20:19:05 worker-8 WARNING [On Campus Subject Delivered Online/Lecture Online] all-weeks request errored (attempt 1/5) - requeuing, refreshing session state
2026-07-13 20:19:05 worker-20 INFO [On Campus Subject Delivered Online/Class Online] 23 entries, 202 rows written
2026-07-13 20:19:05 worker-26 INFO [On Campus Subject Delivered Online/Class Online] 55 entries, 387 rows written
2026-07-13 20:19:05 worker-12 INFO [On Campus Subject Delivered Online/Lecture Online] 42 entries, 335 rows written
2026-07-13 20:19:05 worker-16 INFO [On Campus Subject Delivered Online/Class Online] 33 entries, 298 rows written
2026-07-13 20:19:05 worker-24 INFO [On Campus Subject Delivered Online/Lecture Online] 13 entries, 145 rows written
2026-07-13 20:19:05 worker-2 INFO [On Campus Subject Delivered Online/Lecture Online] 13 entries, 169 rows written
2026-07-13 20:19:05 worker-28 INFO [On Campus Subject Delivered Online/Lecture Online] 5 entries, 45 rows written
2026-07-13 20:19:05 worker-21 INFO [On Campus Subject Delivered Online/Class Online] 31 entries, 258 rows written
2026-07-13 20:19:05 worker-13 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-19 INFO [On Campus Subject Delivered Online/Class Online] 22 entries, 133 rows written
